CATEGORY	TIME	INDICATOR	SOURCE	DESCRIPTION	UNIT	MAP	GRAPH	DATA	OPTIONS	ID	AFG	ALB	DZA	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	KHM	CMR	CAN	CPV	CYM	CAF	TCD	CHL	CHN	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FJI	FIN	FRA	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRD	GTM	GIN	GNB	GUY	HTI	VAT	HND	HKG	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MAC	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MRT	MUS	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	ANT	NZL	NIC	NER	NGA	NIU	NOR	OMN	PAK	PLW	PSE	PAN	PNG	PRY	PER	PHL	POL	PRT	QAT	KOR	MDA	ROU	RUS	RWA	KNA	LCA	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SVK	SVN	SLB	SOM	ZAF	ESP	LKA	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	THA	MKD	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	URY	UZB	VUT	VEN	VNM	YEM	ZMB	ZWE	GUF	ESH	TWN	GRL	EAZ	SJM	PRI	IMN	JEY	GGY	VIR	KOS	SSD	FrenchPolynesia	Guadeloupe	Guam	Martinique	Mayotte	NewCaledonia	Reunion	HongKong	ChannelIslands	FaeroeIslands	FalklandIslands	NorthernMarianaIslands	Pitcairn	SaintHelena	SaintPierreandMiquelon	WallisandFutunaIslands	WestBankandGaza
	2012																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									65.45	110.69	97.52	81.5	61.41		143.01	156.56	111.91	131.86	105.59	160.54	108.77	80.65	161.17	62.82	123.33	113.52	111.33	53.21	83.65	139.54	75.61	90.44	87.57	153.79	125		113.95	148.13	60.61	22.81	128.53	60.41	79.57	86.03	171.68	25.26	35.36	137.08	80.76	102.85	39.51	98.76		111.92	91.23	115.41	14.92	98.4	126.85	6.87	30.58	130.28	24.72	152.47	86.94	106.23	119.92	137.34	68.05	4.98	160.41	22.37	98.18	172.32	97.38	179.47	85.2	107.81	111.59	100.99		120.1	123.16	137.82	48.77	63.07	68.78	59.91		92.87	229.24	116.07	108.05	69.92	114.22	76.1	81.63	107.21	120.68	159.63	98.05	110.91	128.17	185.82	71.17	15.88	156.9	124.18	64.7	127.69	80.81	75.3	56.79	155.77	98.43	165.06	145.36	289.78	39.38	29.21	141.33	165.63	98.38	124.42		106.04	119.87	83.35	30.19	88.33	120.69	159.54		119.97	34.94	7.06	95.02		60.45	117.97		110.36	97.66	31.45	66.8		116.09	159.25	67.06	82.64	74.3	163.42	37.8	101.59	98	105.45	141.55	112.39	126.86	109.43	101.99	104.99	145.33	49.67	141.83	119.42	116.11	53.1	115.21	64.95	187.36	83.57	117.77	147.8	36.96	152.13	111.91	108.39	54.98	22.56	130.56	108.36	91.63	74.36	106.46	65.39	124.57	132.06	59.3	81.51	127.29	106.17	55.74	49.86		53.36	140.84	118.11	91.46	114.06		28.4	45	130.34	149.64	124.76	56.96	96.01	147.13	71.03	59.08	102.05	145.02	58.28	74.78	91.91				104.7			82.55						21.22																	
		 Fixed telephone subscriptions (per 100 people)									0.3	9.87	8.55	48.9	1		37.23	23.01	19.66	35.16	45.43	39.93	18.52	36.29	22.72	0.62	50.62	46.86	42.03	7.84	1.56	105.8	3.64	8.39	23.12	8.01	22.3		17.21	29.31	0.86	0.18	3.93	3.4	50.88	14.2	64.95	0.02	0.22	18.78	20.2	14.81	3.34	0.34		20.71	1.39	40.48	10.79	33.06	19.86	4.77	0.09	41.08	2.32	22.65	10.99	14.9	10.6	16.82	2.02	0.98	34.72	0.87	10.11	16.45	62.11	1.38	3.58	29.27	60.51	1.12		49.09	26.29	11.56	0	0.3	19.39	0.49		7.69	61.29	29.68	55.24	2.5	15.39	37.63	5.71	43.88	47.02	35.72	9.14	50.47	6.2	26.8	0.58	8.93	15.69	8.93	6.77	23.11	18.66	2.47	0.33	13.23	50.39	22.31	50.92	29.19	1.09	1.43	15.69	6.84	0.75	53.71		1.71	28.16	17.04	8.12	121.72	6.32	27.34		10.08	0.35	0.99	7.58		3.03	42.97		42.15	4.99	0.59	0.25		27.95	9.19	3.27	35.29	9.34	14.99	1.94	6.15	11.39	3.61	15.57	42.99	19.23	61.42	34.31	21.37	29.45	0.39	37.32	20.37	17.72	4.38	59.85	4.27	16.97	2.48	38.37	22.69	0.3	37.48	17.9	40.4	1.47	0.69	9.25	41.87	16.35	1.14	16.17	3.7	43.83	59.04	19.43	4.91	9.55	19.39	0.27	0.93		28.59	21.43	10.1	18.73	11.12		14.71	0.87	26.76	21.37	52.88	0.37	43.65	29.78	6.94	1.96	25.53	10.52	4.63	0.59	2.2				33.3			19.12						0																	
		 Internet users (per 100 people)									5.45	54.66	15.23	86.43	16.94		58	55.8	37.5	74	79	80.03	54.2	71.75	88	5	70	46.91	80.72	31	4.5	91.3	24	35.34	52.78	11.5	48.56		60.27	51.9	3.73	1.22	4.94	5.7	83	34.74	74.13	3	2.1	61.42	42.3	48.98	5.98	6.11		47.5	5	61.94	21.2	60.69	73.43	0	1.68	92.26	8.27	55.18	41.2	35.14	26.4	20.32	13.94	0.8	78.39	1.48	33.74	89.88	81.44	8.62	12.45	36.94	82.35	10.6		55.07	32	16	1.49	2.89	33	9.8		18.12	72.9	70.58	96.21	12.58	14.52	22.73	7.1	76.92	70.8	55.83	33.79	79.5	37	53.32	32.1	10.75	70.45	19.8	10.75	73.12	61.25	4.59	2.6		89.41	67.23	91.95	61.31	2.3	4.35	65.8	38.93	2.8	68.2	12.5	5	35.42	39.75	25.97	87	16.4	56.84		55.42	4.85	1.07	12.94		11.15	92.86		82	13.5	1.41	32.8		94.65	60	9.96		43.4	40.3	3.5	29.34	38.2	36.24	62.31	60.34	69.3	84.07	43.37	45.88	63.8	8.02	64	45.9	47.52	12.92		21.57	54	10.8	48.1	47.08	1.3	72	76.71	68.35	7	1.38	41	69.81	18.29	21	34.68	20.78	93.18	85.2	24.3	14.51	26.46	57.45	0.91	4		33	59.52	41.44	45.13	7.2		35	14.69	35.27	85	87.48	3.95	79.3	54.45	36.52	10.6	49.05	39.49	17.45	13.47	17.09				64.9			69				40.55																			
		 Fixed broadband subscriptions (per 100 people)									0.01	5.06		34.34			14.67	12.53	7.14		24.88	25.17	14.71		22.41	0.39		26.92	33.38	3.08	0.42		2.26	1.11	12.24	1.11	9.62		4.81	18.3	0.09	0.01	0.2	0.06	33.56	4.02	33.57	0.01	0.16	12.4	12.72	8.26	0.17	0.03		9.34	0.23	21.34		19.54	24.92			38.94	1.73	11.86	4.71	5.45	2.84		0.2	0	27.08	0.01	1.55	30.46	37.51	0.31		10.62	33.76	0.27		24.18		1.86		0.07	3.77			0.77	31.55	24.02	34.81	1.21		4.98		24.3	25.34	22.61	4.44	28.39	4.28	10.06	0.13			1	0.11		10.25		0.01		39.33	25.39	32.4	25.97	0.14	0.01	9.99	5.34	0.03	31.74		0.18	11.21	10.29		43.26	3.94			2.12	0.08		1.06		0.84	39.81		28.52	1.69	0.02	0.01		37.99	3.42	0.85	4.33	4.42	7.75		2.04	4.81		20.53	22.55	9.03	37.25	11.91	16.28	14.61	0.05		13.59	12.45	0.57	31.69	0.41	8.91	0.7	13.71	11.45		27.02	19.2	24.63	0.39	0.39		24.65	1.68	0.07	5.48	0.28	32.31	40.17	1.11		6.77	14.83		0.62			15.06	4.86	10.63				0.11	8.01	10.37	34.54	0.09	29.14	17.1	0.77	0.13	6.8		0.7	0.11	0.52				20.04			15.52						0																	
	2011																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									60.33	98.29	94.31	83.53	59.83		199.66	149.09	108.34		104.61	154.43	109.97	81.56	131.01	55.19	123.46	113.17	113.53	70.32	79.4		66.38	80.91	82.6	145.98	119		109.02	142.85	48.03	20.07	94.19	49.57	77.83	80.81	170.98	22.37	30.34	128.93	72.07	98.13	30.91	91.94		87.66	89.45	118.3	11.66	97.71	124.09	4.06	24.47	128.66	22.8	152.55	86.43	100.57	105.08	132.93	66.88	4.08	143.93	15.8	83.76	165.89	94.08	148.69	80.76	101.28	109.66	85.27		109.08	115.02	132.45	43.55	45.11	66.86	41.86		103.67	215.5	116.94	106.84	73.2	102.46	74.3	80.16	108.48	121.98	158.15	106.92	104.27	111.16	156.79	66.81	13.89	157.91	116.17	84.05	111.36	77.19	60.72	49.53	163.85	101.6	162.22	148.15	247.71	40.04	25.56	127.48	159.79	75.07	122.37		89.52	104.79	79.24	26.69	85.31	106.83	186.76		114.02	31.96	2.38	98.96		49.18	118.98		109.2	81.68	28.72	57.96		115.81	159	61.81	74.95	70.12	180.08	34.22	99.33	109.61	99.09	131.29	116.39	120.48	107.74	90.81	107.39	142.05	39.9	145.36	120.78	120.53		114.23	62.8	194.51	70.16	130.25	137.9	36.43	150.12	109.98	105.17	51.09	18.17	123.2	113.06	87.55	68.78	100.71	63.24	121.22	127.38	59.24	80.92	116.33	105.2	56.02	41.64		52.6	136.99	115.2	89.41	103.79		21.64	47.5	121.34	131.4	123.6	55.37	94.44	140.61	90.37	56.65	97.56	141.6	50.07	59.88	68.87				103.74			83.98						17.34																	
		 Fixed telephone subscriptions (per 100 people)									0.05	10.74	8.1	49.32	0.79		40.25	23.87	19.8		46.49	40.18	18.3	36.3	21.39	0.64	49.92	44.53	42.1	9.12	1.56		3.77	8.51	24.9	7.53	21.85		19.64	30.99	0.88	0.31	3.63	3.16	52.99	15.19	65.77	0.02	0.26	19.45	20.84	15.14	3.31	0.34		21.78	1.43	42.74	10.58	36.28	20.77	4.79	0.09	44.51	2.18	21	10.84	14.5	10.98	16.46	2.03	0.99	36.45	0.93	14.96	20.04	63.49	1.41	2.91	30.65	62.01	1.15		51.67	26.72	11.06	0.16	0.31	19.26	0.5		7.9	61.19	29.34	59.34	2.69	15.84	36.81	5.63	45.25	46.4	36.4	9.8	50.79	6.91	26.5	0.67	8.52	16.47	9.29	1.65	24.9	19.09	1.9	0.23	16.38	53.86	23.39	54.06	30.44	1.09	1.12	15.73	7.26	0.73	54.46		1.95	30.33	16.75	8.12	119.41	6.81	27.53		11.12	0.36	1	7.17		3.11	42.8		42.59	4.87	0.52	0.44		30.79	9.5	3.25	33.56	9.3	14.98	1.85	5.61	10.98	3.74	17.94	42.86	16.17	60.47	33.3	21.46	30.78	0.35	37.38	20.03	20.78		60.18	4.35	16.69	2.6	38.77	30.41	0.27	38.87	19.41	42.74	1.56	0.91	9.34	42.76	17.24	1.33	15.85	6.26	47.44	61.89	19.67	4.86	10.01	20.06	0.28	0.93		28.69	21.91	11.32	20.82	10.71		14.73	1.32	27.69	20.45	53.27	0.35	45.51	28.52	6.85	2.43	24.86	11.32	4.61	0.63	2.66				35.14			22.32						0.02																	
		 Internet users (per 100 people)									5	49	14	81	14.78		52	51	32	69	79.49	78.74	50	65	77	4.5	67	39.65	81.61	30.7	4.15	88.34	21	30	47.77	8	45.69		56	47.98	3	1.11	3.1	5	83	32	69.47	2.2	1.9	52.25	38.3	40.35	5.5	5.6		39.21	2.9	57.79	16.02	56.86	70.49	0	1.2	89.81	7	51.31	38	31.37	25.6	18.9	11.5	0.7	76.5	1.1	28	88.71	77.82	8	10.87	31.52	81.27	9		51.65	30	12.3	1.3	2.67	31	9		15.9	72.2	68.02	94.82	10.07	12.28	19	5	74.89	68.87	54.39	37.44	79.05	34.9	50.6	28	10	65.77	17.5	9	69.75	52	4.22	2.5	14	85	63.64	90.03	60.2	1.9	3.33	61	34	2.2	68.02	10	4.5	34.95	37.18	22.8	80.3	12.5	35.61		46.11	4.3	0.98	12		9	91.42		81.23	10.6	1.3	28.43		93.49	48	9		41.08	42.7	2	24.76	36.01	29	61.95	55.25	69	83.76	38	40.01	49	7	63.2	44	43.01	11	49.6	20.16	47.5	9.8	42.2	43.16	0.9	71	74.44	67.34	6	1.25	33.97	67.6	15	17.3	32	18.13	92.77	85.19	22.5	13.03	23.67	56.7	0.9	3.5		25	55.2	39.1	43.07	5		30	13.01	28.71	78	85.38	3.2	69.73	51.4	30.2	9.2	40.22	35.07	14.91	11.5	15.7				64			48				35.6																			
		 Fixed broadband subscriptions (per 100 people)										4.07	2.6	33.09			6.81		5.42		24.41	24.88	10.58	4.23		0.31	22.23	22.2	32.2	3.07	0.38		1.81	0.71	11.21	0.96	9.06		5.7	17.14	0.09	0.01	0.15	0.05	32.72	4.35	33.24	0.02		11.62		7.11		0.03		8.86		20.65		19	23.65			38.44	1.33	11.63	4.18	4.32	2.32	3.29		0	26.96	0.01	2.68	29.8	35.78		0.03	5.68	32.88	0.26		22.16					2.6			0.74	32.4	23.14	34.65	1.09	1.12			23.67		22.26	4.29	28.04	4.41	7.41	0.13	0.93		0.72	0.1	22.06		0.07	0	1.15	37.36	23.91	32.88	25.2	0.03	0.01	8.72	5.31	0.06	30.18		0.17	9.57	9.69		42.73	3.41			1.86	0.09	0.04	0.79		0.35	38.99		26.69	1.44	0.01			36.94	2.59	0.66	2.51		7.56		1.83	4.09	8.85	18.25	21.17	8.61	36.65	10.06	15.05	12.29	0.08		11.9	12.12		21.06	0.4	6.93	0.7	12.41	10.25		27.12	17.52	23.98	0.45			24.01	1.72	0.05	4.37	0.66	32.04	38.89	0.56		5.85	13.38				1.24	12.93	5.2	10.39				0.1	6.92	9.71	32.98		28.04	13.98		0.14	6.15		0.47	0.12	0.25				21			15.08																							
	2010																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									45.78	85.47	88.44	84.07	48.1		192.55	141.38	130.43	129.73	100.43	145.69	100.06	118.83	125.21	44.95	124.85	108.87	111.08	62.93	74.4	135.79	55	70.69	80.87	120.01	100.88		108.62	138.04	36.73	18.17	56.74	41.88	75.68	76.27	181.17	22.51	24.53	115.75	63.17	95.76	24.2	90.44		66.99	82.2	113.61	8.89	93.69	122.56	1.76	19.01	115.67	19.86	148.34	88.78	98.53	90.5	123.84	57.36	3.23	127.28	7.87	81.1	156.31	91.39	103.46	87.96	90.65	106.48	71.87		110.65	116.5	125.98	36.78	42.69	71.29	40.42		124.72	195.67	119.94	107.24	62.39	87.79	72.59	75.14	105.24	122.78	154.8	116.07	96.81	102.56	121.87	61.03	10.84	133.01	98.9	62.59	110.31	65.97	49.15	39.7	180.45	98.28	159.4	143.14	209.92	36.58	20.76	119.74	151.78	53.2	107.26		76.91	96.77	77.52	26.56	63.55	92.54	188.69		101.07	30.14	1.14	89.5		34.25	115.43		107.83	68.05	23.08	54.66		114.48	164.34	57.28	70.89	64.88	180.7	27.83	91.66	99.5	88.98	122.92	115.3	124.96	104.77	71.38	111.43	165.5	32.75	152.81	111.73	120.56	48.38	99.11	57.64	189.17	64.43	125.3	128.92	34.77	145.4	109.05	103.3	21.94	6.73	97.9	111.28	83.62	41.54	99.28	60.83	117.16	123.16	54.32	77.89	108.02	102.44	43.82	41.27		52.16	142.63	104.54	85.63	63.42		16.28	37.74	117.11	129.43	123.63	46.66	91.31	131.59	75.45	71.92	96	125.29	48.7	41.21	58.88				101.42			79.09						14.45																	
		 Fixed telephone subscriptions (per 100 people)									0.06	10.57	7.89	49	1.44		41.64	24.56	19.99	34.49	47.42	40.44	16.57	35.87	18.22	0.85	49.03	43.61	42.41	9.81	1.4	88.99	3.67	8.38	25.97	6.98	21.59		19.95	29.29	0.93	0.38	2.5	2.62	53.9	14.76	67.29	0.02	0.44	20.16	21.65	15.47	3.11	0.33		22.71	1.49	43.01	10.31	37.44	22.43	4.82	0.07	47.09	2.22	21.76	10.11	13.9	12.32	16.1	1.94	0.94	37.14	1.04	15.09	23.29	64.24	1.95	2.9	25.34	63.72	1.15		53.09	27.1	10.45	0.17	0.32	19.06	0.51		8.84	61.87	29.73	60.88	2.91	17.01	34.67	5.56	46.51	45.93	37.24	9.6	51.53	7.52	25.49	0.93	8.59	17.36	9.17	1.61	25.45	19.3	1.92	0.15	20.33	54.26	24.55	53.63	31.49	0.67	1.01	16.3	8.71	0.82	58.3		1.98	31.5	16.9	8.16	116.46	7.12	27.51		11.85	0.37	0.95	7.21		3.14	43.53		43.04	4.44	0.52	0.66		33.68	10.13	3.51	34.08	8.98	14.66	1.77	5.62	10.8	3.57	20.07	42.36	15.43	58.91	32.5	20.58	31.27	0.37	37.82	21.11	19.85	4.3	63.37	4.38	15.28	2.64	39.31	24.17	0.24	39.3	20.22	44.34	1.6	1.04	9.45	43.7	17.24	1.25	16.18	4.44	50.46	62.67	18.9	4.82	10.29	19.65	0.27	0.95		29.78	22.09	12.13	22.46	10.31		12.21	0.96	28.1	17.53	53.83	0.39	47.93	28.53	6.81	3.01	24.39	16.14	4.6	0.9	2.9				38.59			24.01				71.25		0.02																	
		 Internet users (per 100 people)									4	45	12.5	81	10		47	45	25	62	76	75.17	46	43	55	3.7	65.1	31.8	75	28.2	3.13	84.21	13.6	22.4	42.75	6	40.65		53	46.23	2.4	1	1.26	4.3	80.3	30	66	2	1.7	45	34.3	36.5	5.1	5		36.5	2.7	56.55	15.9	52.99	68.82	0	0.72	88.72	6.5	47.45	31.4	29.03	21.6	15.9	6	0.61	74.1	0.75	20	86.89	77.28	7.23	9.2	26.9	82	7.8		44.4	27	10.5	1	2.45	29.9	8.37		11.09	72	65	93.39	7.5	10.92	15.9	2.5	69.85	67.5	53.68	27.67	78.21	27.2	31.6	14	9.07	61.4	16.3	7	68.42	43.68	3.86	2.3	14	80	62.12	90.62	55.2	1.7	2.26	56.3	26.53	2	63	7	4	28.33	31.05	20	75	10.2	37.5		52	4.17	0.25	11.6		7.93	90.72		80.46	10	0.83	24		93.39	35.83	8		37.4	40.1	1.28	19.8	34.77	25	62.32	53.3	69	83.7	32.3	39.93	43	8	63	43.3	38.5	7		18.75	41	8	40.9	41	0.58	71	75.71	70	5		24	65.8	12	16.7	31.59	11.04	90	83.9	20.7	11.55	22.4	51.9	0.21	3		16	48.5	36.8	39.82	3		25	12.5	23.3	68	85	2.9	71.69	46.4	20	8	37.37	30.65	12.35	10	11.5				63			45.3				31.22		7																	
		 Fixed broadband subscriptions (per 100 people)									0.01	3.35	2.43	31.45			8.16	9.98	3.16		24.59	24.4	5.23	6.85	12.38		20.04	17.56	30.83	2.89	0.28	61.74	1.21	0.94	10.16	0.61	7.22		5.42	15.22	0.09	0	0.25	0.03	31.7	3.3	33.96		0	10.43	9.29	5.69	0.05			8.49		19.31	0.03	17.62	21.43		0	38.05	0.97	11.68	3.9	1.48	1.86	2.82	0.17	0	26.79	0	2.7	29.05	33.74	0.26	0.02	4.16	31.51	0.21		20.28	13.79	1.81	0	0.05	1.42			0.01	30.75	21.56	34.34	0.91	0.95		0.01	22.83		21.65	4.26	26.78	4.54	5.46	0.02	0.87			0.09	20.8	7.63	0.02	0			22.14	33.15	24.71	0.03	0.01	7.42	4.78	0.06	29.64		0.16	7.63	8.98	0.96	37.45	2.83			1.59	0.06	0.04			0.22	38.09		25	1.26	0.01	0.06		35.23	2.09	0.46	1.17		7.02	0.09	1.39	3.19	1.84	15.34	20.08	8.33	35.49	7.58	13.73	10.93	0.04		11.55	11.44		19.42	0.33	6.28	0.61	10.87	7.45		26.35	16.14	22.91	0.48		1.44	23.07	1.1		2.88		31.97	37.21	0.32	0.06	4.9	12.31		0.43			12.26	4.54	9.84	0.01			0.04	6.42	9.32	30.86	0.02	27.07	11.37			5.76	4.12	0.37		0.25				21.91			14.87																							
	2009																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									37.89	78.18	89.96	82.06	42.85		156.34	131.13	73.83	126.21	100.74	136.58	86.32	101.22	117.66	34.35	120.81	101.68	108.4	53.75	54.47	131.15	48.11	64.69	84.53	96.02	87.54		104.69	140.4	25.33	10.31	44.31	39.81	70.55	59.83	200.27	20.24	20.06	96.81	55.3	92.05	18.41	73.8		42.39	70.88	107.47	5.5	89.64	124.57	0.28	15.64	123.7	15.67	138.74	87.31	89.74	72.1	122.36	29.55	2.54	120.54	4.78	75.08	144.09	92.1	95.45	80.63	64.46	126.23	63.77		119.8	109.71	123.72	32.94	36.13	62.55	37.36		112.33	179.78	117.56	108.26	44.12	68.92	71.46	66.69	106.67	124.03	149.51	108.29	91.32	97.3	108.38	48.62	10.29	91.87	85.22	51.61	109.05	56.28	33.22	28.39	159.85	97.63	159.95	144.54	198.88	30.66	17.06	108.47	143.21	32.9	99.81		62.06	88.58	71.46	26.45	63.34	84.16	208.94		80.93	25.56	0.97	76.12		21.09	121.66		108.72	58.23	16.98	47.96		110.73	149.09	55.46	62.64	45.99	167.78	21.14	88.52	85.37	82.26	117.31	111.48	124.6	99.54	59.28	114.54	160.1	23.07	145.95	108.3	110.86		97.56	46.66	167.43	54.83	124.4	122.18	20.56	138.69	101.34	102.75	9.71	6.83	91.25	111.58	79.15	36.11	146.86	56.61	112.13	120.4	47.65	65.79	99.51	92.51	32.97	35.6		51.18	139.61	93.21	88.12	42.84		10.2	28.55	118.75	138.27	123.95	40.03	88.62	122.35	59.94	57.05	98.39	111.37	37.4	34.36	30.96				94.52			72.93																							
		 Fixed telephone subscriptions (per 100 people)									0.02	11.52	7.08	48.16	1.6		43.28	24.41	20.21	36.19	48.6	38.86	15.59	36.38	19.97	0.83	48.64	41.81	42.68	10.35	1.38	89.03	3.74	8.05	25.92	7.04	21.45		20.42	29.62	1.01	0.35	0.38	2.17	55.43	14.8	66.61	0.08	0.51	20.98	23.22	16.32	4.62	0.29		32.59	1.52	42.74	9.92	38.01	24.1	4.84	0.07	50.22	2.05	23.24	9.77	13.64	13.43	17.78	1.48	0.87	37.82	1.08	16.05	26.76	65.09	2.4	2.98	14.09	64.56	1.13		54.07	27.16	10.1	0.21	0.31	18.83	1.1		9.59	61.04	30.59	60.6	3.11	14.66	35.09	5.47	48.34	45.59	37.6	11.08	52.45	8.11	24.5	1.67	8.62	18.54	9.46	1.6	26.59	18.93	2.01	0.06	17.83	54.67	24.09	52.92	32.68	0.91	0.76	16.28	9.54	0.63	58.38		2.12	30.58	16.75	8.37	118.9	7.07	27.73		11.24	0.35	0.86	6.94		3.06	43.81		43.26	4.43	0.5	0.95		36.62	11.27	3.61	35.08	9.41	14.83	1.36	6.1	12.26	4.46	22.24	40.91	18.41	55.84	31.6	21.59	31.58	0.32	39.63	22.01	21.07		66.55	4.44	15.57	2.21	38.98	28.79	0.58	38.9	22.48	45.94	1.59	1.07	9.57	44.25	16.68	0.87	16.1	3.85	55.21	66.28	18.41	4.66	10.87	20.82	0.27	2.91		29.94	22.93	12.16	23.21	9.93		8.16	0.71	28.15	20.47	54.3	0.4	49.39	28.38	6.78	3.13	24.02	19.76	4.49	0.7	2.99				38.96			24.36				70.4																			
		 Internet users (per 100 people)									3.55	41.2	11.23	78.53	6		42	34	15.3	58	74.25	73.45	27.4	33.88	53	3.1	64.7	27.43	70	27.2	2.24	83.25	7.17	16.8	37.74	6.15	39.22		49	45	1.13	0.9	0.53	3.84	80.3	21	64.5	1.8	1.5	41.56	28.9	30	3.5	4.5		34.33	2	50.58	14.33	49.81	64.43	0	0.56	86.84	4	42.02	27.72	24.6	20	12.11	2.13	0.54	72.5	0.54	17	82.49	71.58	6.7	7.63	20.07	79	5.44		42.4	24.05	9.3	0.94	2.3	23.9	8.1		9.8	69.4	62	93	5.12	6.92	13.8	1.06	67.38	63.12	48.83	24.3	78	26	18.2	10.04	8.97	50.8	16	6	66.84	30.14	3.72	2	10.8	75	59.76	87.31	54	1.63	1.07	55.9	24.8	1.8	58.86	5.6	2.28	22.51	26.34	15.35	70.1	10	35.1		41.3	2.68	0.22	6.5		1.97	89.63		79.7	7.3	0.76	20		92.08	26.8	7.5		32.23	39.08	1.61	18.9	31.4	9	58.97	48.27	53.1	81.6	27.5	36.6	29	7.7	55.7	36	31	6	54.21	16.41	38	7.5	38.1		0.26	69	70	64	4	1.16	10	62.4	8.78		31.36	8.94	91	81.3	17.3	10.07	20.1	51.77	0.19	2.6		10	44.3	34.07	36.4	1.95		20	9.78	17.9	64	83.56	2.4	71	41.8	17.06	7.5	32.7	26.55	9.96	6.31	11.36				62.83			41.5				27.4																			
		 Fixed broadband subscriptions (per 100 people)									0	2.92	2.25	29.17	0.11		18.56	8.77			23.69	22.44	1.11	8.91	11.71		20.54	11.47	29.03	2.77	0.21		0.48	0.96	7.58	0.51	6.06		5.08	13.4	0.08	0	0.21	0	30.49	2.26	33.71			9.74	7.69	4.62				3.97	0.05	16.49	0.03	16.14	19.42			36.61	0.64		3.19	1.63	1.36	2.42		0	24.07	0		29.3	31.57			3.41	30.01	0.12		17.27	11.86	1.12			0.87				29.3	19.71	34.12	0.65	0.78	0.54	0	22.14		20.07	4.11	25.8	3.85	3.67	0.05			0.33	0.07	21.53	4.64					20.43	31.34	24.18	0.02		5.59	4.81	0.06	26.88		0.19	5.94	8.28			1.5			1.53	0.05	0.05			0.06	37.01		23.65	1.37		0.05		34.5	1.54	0.23	0.7		6.48		1.22	2.86	1.87	14.65	18.07	9.26	33.94	5.21	12.84	8.98	0.02		10.61	10.53		17.74	0.26	5.37	0.47	7.41	5.03		24.85	14.29	21.97				21.42	0.82		1.74	0.13	31.63	35.4	0.16		3.96	11.08					9.83	3.55	9.05				0.02	4.12	8.95	28.97	0.02	25.85	9.45	0.32	0.22	4.9			0.08	0.37				22.17			12.92																							
	2008																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									29.22	58.91	75.66	80.28	36.98		160.04	117.22	48.43	119.2	102.19	129.66	73.76	102.79	129.1	30.17	103.97	85.06	105.28	54.52	40.4	122.16	36.61	51.24	82.33	76.84	78.55		102.79	138.98	20.63	5.57	30.39	31.44	66.2	57.29	185.8	13.62	14.51	87.91	47.76	91.61	14.13	46.61		41.62	57.22	104.46	2.94	94.4	132.35	0	16.9	119.3	13.93	128.38	73.95	80.51	54.69	112.99	27.35	2.02	124.21	2.37	71.1	128.42	92.68	87.67	73.9	62.44	126.56	50.07		124.51	57.75	109.53	26.66	32.97	57.72	33.2		84.82	166.19	121.68	108.9	29.53	60.01	59.18	59.56	116	126.39	150.89	100.16	86.71	89.89	95.78	42.05	1.05	55.51	65.3	32.94	107.5	34.09	30.08	23.27	125.56	95.55	159.79	145.08	183.75	24.27	10.66	101.5	138.8	26.17	91.64		61.12	84.47	65.5	26.32	61.65	66.97	187.19		73.71	19.35	0.72	49.84		16	124.98		107.99	54.83	12.88	41.66		109.07	124.13	52.7	57.68	34.43	110.18	13.34	92.86	73.19	75.37	115.02	132.92	105.18	95.28	66.64	111.4	138.87	12.94	145.76	101.34	119.18		79.88	30.04	136.54	44.03	119.83	103.98	18.24	132.3	101.93	101.1	5.96	6.86	89.52	109.68	54.19	28.95	127.5	46.07	108.44	116.25	34.68	50.49	93.43	93.75	11.9	25.88		49.03	137.2	82.78	93.55	23.08			26.92	119.84	137.64	122.19	30.71	85.21	104.75	45.79	15.97	97.49	85.7	29.7	28.41	12.94				98.48			68.22																							
